,n_b,n_x,runs,Literature,Continuous,Difference
0,2.0,2.0,4.0,8.75,8.75,0.0
1,2.0,3.0,4.0,8.828,8.828,0.0
2,2.0,4.0,4.0,8.75,8.75,0.0
3,2.0,8.0,4.0,8.493,8.493,0.0
4,2.0,16.0,4.0,8.427,8.429,0.002
5,2.0,100.0,4.0,8.404,8.407,0.003
6,2.0,2.0,8.0,3.958,3.958,0.0
7,2.0,3.0,8.0,4.287,4.287,0.0
8,2.0,4.0,8.0,3.903,3.903,0.0
9,2.0,8.0,8.0,3.902,3.902,0.0
10,2.0,16.0,8.0,3.887,3.889,0.002
11,2.0,100.0,8.0,3.882,3.883,0.001
12,2.0,2.0,12.0,2.583,2.583,0.0
13,2.0,3.0,12.0,2.778,2.778,0.0
14,2.0,4.0,12.0,2.57,2.57,0.0
15,2.0,8.0,12.0,2.539,2.539,0.0
16,2.0,16.0,12.0,2.52,2.52,0.0
17,2.0,100.0,12.0,2.512,2.513,0.001
18,3.0,3.0,4.0,386.408,386.538,0.13
19,3.0,4.0,4.0,246.869,246.929,0.06
20,3.0,8.0,4.0,218.479,219.118,0.639
21,3.0,16.0,4.0,208.843,208.843,0.0
22,3.0,100.0,4.0,206.884,206.971,0.087
23,3.0,3.0,8.0,189.766,189.766,0.0
24,3.0,4.0,8.0,103.553,103.553,0.0
25,3.0,8.0,8.0,99.109,99.109,0.0
26,3.0,16.0,8.0,97.408,98.657,1.249
27,3.0,100.0,8.0,96.709,97.51,0.801
28,3.0,3.0,12.0,126.409,126.409,0.0
29,3.0,4.0,12.0,67.735,67.735,0.0
30,3.0,8.0,12.0,65.217,65.226,0.009
31,3.0,16.0,12.0,63.61,63.736,0.126
32,3.0,100.0,12.0,63.028,63.033,0.005
