run,nx,time_x,latent_dim,patience,best_optimality,literature_optimality,diff,eff,time_y,time_reduction
4,[3],10.290486,2,100,386.534,386.408,0.126,99.97,37.397435,1.8616282029555689
4,[4],12.442006,2,100,246.927,246.869,0.058,99.98,40.351059,1.6973874299596465
4,[8],9.033832,2,100,218.54,218.479,0.061,99.97,81.53323,3.1739781799092808
4,[16],13.64937,7,100,209.857,208.843,1.014,99.52,161.35363,3.563319765948993
4,[100],22.792252,40,100,206.993,206.884,0.109,99.95,850.907454,5.222386847745202
8,[3],6.551307,2,100,189.776,189.766,0.01,99.99,71.276669,3.4435752551362406
8,[4],7.631096,5,100,103.65,103.553,0.097,99.91,72.783134,3.253641993064934
8,[8],4.859124,2,100,100.845,99.109,1.736,98.28,146.38747,4.912952012485032
8,[16],5.216394,4,100,98.212,97.408,0.804,99.18,288.743606,5.790592347276175
8,[100],19.509685,15,100,96.725,96.709,0.016,99.98,1367.913181,6.13164237300307
12,[3],6.803127,3,100,126.479,126.409,0.07,99.94,85.263583,3.6476597558750257
12,[4],6.134439,1,100,67.749,67.735,0.014,99.98,103.979804,4.08322811650271
12,[8],12.725444,3,100,65.663,65.217,0.446,99.32,207.903146,4.030123690317966
12,[16],5.876656,10,100,64.051,63.61,0.441,99.31,390.958102,6.055874745375806
12,[100],30.775996,10,100,63.038,63.028,0.01,99.98,1896.366767,5.9452886583341655
