run,nx,time,best_cr
4,[3],0:00:37.397435,386.40824246538244
4,[4],0:00:40.351059,246.97402185267447
4,[8],0:01:21.533230,219.11799748874054
4,[16],0:02:41.353630,208.8429786336538
4,[100],0:14:10.907454,206.97122582275358
8,[3],0:01:11.276669,189.7663905076644
8,[4],0:01:12.783134,103.55259015406
8,[8],0:02:26.387470,99.19642965068618
8,[16],0:04:48.743606,98.79750759153158
8,[100],0:22:47.913181,96.7150873582512
12,[3],0:01:25.263583,126.40893338647078
12,[4],0:01:43.979804,67.73475701512714
12,[8],0:03:27.903146,65.21891065292041
12,[16],0:06:30.958102,63.75798793563174
12,[100],0:31:36.366767,63.2849598628862
