Run,nx,Optimal CR,Execution Time (s),Latent Dim,Alpha
4,3,387.459,10.631012,2,1e-06
4,4,247.18,17.837203,5,0.001
4,8,219.779,16.66154,2,1e-06
4,16,209.611,16.336361,10,0
4,100,214.071,27.824799,4,0.01
8,3,191.5,7.318635,9,0.1
8,4,104.123,15.889487,5,0.001
8,8,101.849,8.596083,9,0.1
8,16,98.426,14.430876,10,0.0001
8,100,97.31,52.971873,7,1e-06
12,3,130.012,12.700068,12,0.1
12,4,69.211,8.678018,9,0
12,8,66.363,25.520034,6,0
12,16,65.113,27.953251,1,0.001
12,100,63.044,43.337324,9,0.1
